,0,1,2,3,4,5,6,7,8,9
0,121,3649.8,3649.8,3650.0,0.938296328466743,0.7996874389354195,NAN,0.0,0.0,1557883859600000000
1,122,3649.25,3648.4,3650.0,0.9282241108774318,0.720763484085313,NAN,7.0,0.0,1557883860100000000
2,123,3649.8,3649.8,3650.0,0.8515280383017998,0.6641535966858724,NAN,-7.0,0.0,1557883860600000000
3,124,3650.04,3649.8,3650.0,0.7934733770039687,0.6131883886625317,NAN,0.0,0.0,1557883861100000000
4,125,3649.933,3650.2,3650.6,0.7758865896599203,0.5695612346274546,NAN,-2.0,3.0,1557883861600000000
5,126,3650.2,3650.0,3650.8,0.7758865896599203,0.5595533933328463,NAN,1.0,1.0,1557883862100000000
6,127,3650.15,3649.0,3651.0,0.7758865896599203,0.5455272678705327,NAN,5.0,1.0,1557883862600000000
7,128,3650.15,3650.0,3650.2,0.7612489737359924,0.5695612346274205,NAN,-5.0,-4.0,1557883863100000000
8,129,3650.0,3649.4,3650.2,0.7696752562049131,0.5599999999913058,NAN,3.0,0.0,1557883863600000000
9,130,3650.0,3650.0,3650.2,0.7517313349954501,0.5230678732155084,NAN,-3.0,0.0,1557883864100000000
10,131,3650.133,3650.2,3650.6,0.7071067811964588,0.49749371854336083,NAN,-1.0,2.0,1557883864600000000
11,132,3650.2,3650.2,3650.6,0.7291090453519637,0.49749371854336083,NAN,0.0,0.0,1557883865100000000
12,133,3650.4,3650.2,3651.0,0.7022107945725523,0.5114684740921742,NAN,0.0,2.0,1557883865600000000
13,134,3650.2,3650.2,3650.8,0.7155417528099905,0.5487257967239134,NAN,0.0,-1.0,1557883866100000000
14,135,3650.2,3649.0,3649.8,0.7218725649410106,0.5015974481499587,NAN,6.0,-5.0,1557883866600000000
15,136,3650.057,3650.6,3650.8,0.6707458535202017,0.3963584236402446,NAN,-8.0,5.0,1557883867100000000
16,137,3650.6,3649.8,3650.0,0.6766830868395622,0.4073082370768214,NAN,4.0,-4.0,1557883867600000000
17,138,3649.862,3650.2,3650.6,0.6177378084712447,0.4073082370768214,NAN,-2.0,3.0,1557883868100000000
18,139,3650.12,3648.8,3649.8,0.552358579199236,0.3943348830508466,NAN,7.0,-4.0,1557883868600000000
19,140,3649.25,3648.8,3650.2,0.552358579199236,0.3943348830508466,NAN,0.0,2.0,1557883869100000000
20,141,3649.25,3649.4,3649.8,0.5912698199764382,0.3878143885813653,NAN,-3.0,-2.0,1557883869600000000
21,142,3649.467,3648.8,3649.4,0.5949789912382922,0.39937451094270054,NAN,3.0,-2.0,1557883870100000000
22,143,3649.5,3649.2,3650.2,0.5564171097431859,0.4445222154073552,NAN,-2.0,4.0,1557883870600000000
23,144,3649.8,3650.0,3650.2,0.5673623181133391,0.4394314508437939,NAN,-4.0,0.0,1557883871100000000
24,145,3649.8,3648.8,3650.2,0.5709640969578945,0.434050688273505,NAN,6.0,0.0,1557883871600000000
25,146,3650.2,3649.8,3650.2,0.5908468498813838,0.43081318455994977,NAN,-5.0,0.0,1557883872100000000
26,147,3649.8,3649.4,3650.2,0.5861740356026787,0.4170131892286003,NAN,2.0,0.0,1557883872600000000
27,148,3649.4,3649.4,3650.0,0.5713142742963571,0.38405728738116546,NAN,0.0,-1.0,1557883873100000000
28,149,3650.0,3649.4,3650.2,0.5673623181131141,0.38781438858113054,NAN,0.0,1.0,1557883873600000000
29,150,3649.4,3649.4,3650.2,0.5673623181131141,0.38781438858113054,NAN,0.0,0.0,1557883874100000000
30,151,3650.2,3650.2,3650.4,0.5617828762205433,0.38781438858113054,NAN,-4.0,1.0,1557883874600000000
31,152,3650.2,3649.4,3650.0,0.5617828762205433,0.38091993908238636,NAN,4.0,-2.0,1557883875100000000
32,153,3649.733,3649.4,3650.4,0.5444263035660226,0.37416573866469227,NAN,0.0,2.0,1557883875600000000
33,154,3650.4,3649.4,3650.6,0.5234500931459362,0.33030289128374796,NAN,0.0,1.0,1557883876100000000
34,155,3650.4,3650.0,3650.2,0.4983974317895356,0.31368774281177786,NAN,-3.0,-2.0,1557883876600000000
35,156,3650.2,3650.0,3650.4,0.4998999900125673,0.3026549189926594,NAN,0.0,1.0,1557883877100000000
36,157,3650.4,3650.2,3650.6,0.448998886429081,0.27276363392202846,NAN,-1.0,1.0,1557883877600000000
37,158,3650.6,3650.4,3650.6,0.47116875959107113,0.2861817604084512,NAN,-1.0,0.0,1557883878100000000
38,159,3650.6,3650.4,3650.6,0.48774993594528904,0.2861817604084512,NAN,0.0,0.0,1557883878600000000
39,160,3650.667,3650.6,3651.0,0.4958830507436868,0.28478061730157606,NAN,-1.0,2.0,1557883879100000000
40,161,3650.9,3650.8,3651.0,0.5075431016329078,0.33030289128442053,NAN,-1.0,0.0,1557883879600000000
41,162,3651.0,3650.8,3651.0,0.5581218505087747,0.34799425281320456,NAN,0.0,0.0,1557883880100000000
42,163,3651.486,3651.0,3652.0,0.5581218505089051,0.30643106890688787,NAN,-1.0,5.0,1557883880600000000
43,164,3651.486,3651.4,3651.8,0.5902541825482236,0.4582575694867474,NAN,-2.0,-1.0,1557883881100000000
44,165,3651.1,3650.6,3652.0,0.6707458535211233,0.5325410782203823,NAN,4.0,1.0,1557883881600000000
45,166,3651.8,3651.2,3651.6,0.6212889826932386,0.6075360071572128,NAN,-3.0,-2.0,1557883882100000000
46,167,3651.4,3651.6,3652.0,0.6611353870548061,0.6296030495420855,NAN,-2.0,2.0,1557883882600000000
47,168,3651.4,3651.8,3652.0,0.70540768355335,0.6731270310966478,NAN,-1.0,0.0,1557883883100000000
