[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:40 td_position:40 tavp:3652.066667  tick_volume:9 tick_turnover:9860580
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:41 td_position:41 tavp:3652.300000  tick_volume:4 tick_turnover:4382760
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:42 td_position:42 tavp:3651.626667  tick_volume:14 tick_turnover:15336840
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:43 td_position:43 tavp:3652.200000  tick_volume:2 tick_turnover:2191320
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:44 td_position:44 tavp:3652.260000  tick_volume:13 tick_turnover:14243820
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:45 td_position:45 tavp:3652.383333  tick_volume:12 tick_turnover:13148580
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:46 td_position:46 tavp:3652.313333  tick_volume:14 tick_turnover:15339720
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:47 td_position:47 tavp:3652.350000  tick_volume:16 tick_turnover:17531280
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:48 td_position:48 tavp:3652.400000  tick_volume:4 tick_turnover:4382880
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:49 td_position:49 tavp:3652.400000  tick_volume:1 tick_turnover:1095720
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:50 td_position:50 tavp:3652.440000  tick_volume:5 tick_turnover:5478660
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:51 td_position:51 tavp:3652.400000  tick_volume:1 tick_turnover:1095720
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:52 td_position:52 tavp:3652.466667  tick_volume:3 tick_turnover:3287220
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:53 td_position:53 tavp:3652.173333  tick_volume:8 tick_turnover:8765220
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:54 td_position:54 tavp:3652.600000  tick_volume:3 tick_turnover:3287340
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:55 td_position:55 tavp:3652.600000  tick_volume:3 tick_turnover:3287340
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:56 td_position:56 tavp:3652.150000  tick_volume:4 tick_turnover:4382580
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:57 td_position:57 tavp:3651.700000  tick_volume:4 tick_turnover:4382040
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:58 td_position:58 tavp:3651.540000  tick_volume:17 tick_turnover:18622860
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:59 td_position:59 tavp:3651.200000  tick_volume:2 tick_turnover:2190720
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:60 td_position:60 tavp:nan  tick_volume:0 tick_turnover:0
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:61 td_position:61 tavp:3651.040000  tick_volume:5 tick_turnover:5476560
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:62 td_position:62 tavp:3650.900000  tick_volume:2 tick_turnover:2190540
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:63 td_position:63 tavp:3651.200000  tick_volume:2 tick_turnover:2190720
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:64 td_position:64 tavp:3650.700000  tick_volume:4 tick_turnover:4380840
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:65 td_position:65 tavp:3650.433333  tick_volume:6 tick_turnover:6570780
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:66 td_position:66 tavp:3650.750000  tick_volume:20 tick_turnover:21904500
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:67 td_position:67 tavp:3651.800000  tick_volume:2 tick_turnover:2191080
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:68 td_position:68 tavp:3650.150000  tick_volume:8 tick_turnover:8760360
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:69 td_position:69 tavp:3650.533333  tick_volume:3 tick_turnover:3285480
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:70 td_position:70 tavp:3650.850000  tick_volume:4 tick_turnover:4381020
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:71 td_position:71 tavp:3650.920000  tick_volume:5 tick_turnover:5476380
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:72 td_position:72 tavp:3650.400000  tick_volume:1 tick_turnover:1095120
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:73 td_position:73 tavp:3650.383333  tick_volume:14 tick_turnover:15331620
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:74 td_position:74 tavp:3650.333333  tick_volume:3 tick_turnover:3285300
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:75 td_position:75 tavp:3650.300000  tick_volume:4 tick_turnover:4380360
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:76 td_position:76 tavp:3650.256667  tick_volume:7 tick_turnover:7665540
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:77 td_position:77 tavp:3650.266667  tick_volume:3 tick_turnover:3285240
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:78 td_position:78 tavp:3650.200000  tick_volume:9 tick_turnover:9855540
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:79 td_position:79 tavp:3650.400000  tick_volume:4 tick_turnover:4380480
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:80 td_position:80 tavp:3650.313333  tick_volume:21 tick_turnover:22996980
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:81 td_position:81 tavp:3650.500000  tick_volume:2 tick_turnover:2190300
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:82 td_position:82 tavp:3650.400000  tick_volume:3 tick_turnover:3285360
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:83 td_position:83 tavp:3650.073333  tick_volume:8 tick_turnover:8760180
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:84 td_position:84 tavp:3650.700000  tick_volume:8 tick_turnover:8761680
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:85 td_position:85 tavp:3650.400000  tick_volume:5 tick_turnover:5475600
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:86 td_position:86 tavp:3649.866667  tick_volume:3 tick_turnover:3284880
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:87 td_position:87 tavp:3649.900000  tick_volume:2 tick_turnover:2189940
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:88 td_position:88 tavp:3649.850000  tick_volume:8 tick_turnover:8759640
[Strategy 11] [cd_info] name:IF1906 size:200 ready:0 position:89 td_position:89 tavp:3649.983333  tick_volume:12 tick_turnover:13139940
